2,68040
0,49380
4,28380
4,33660
6,55020
4,32700
5,73260
4,32460
4,25080
3,46440
1,3240
4,33960
5,72240
3,56400
3,56580
5,42840
5,71760
4,35520
4,23820
5,61620
1,52500
1,19980
0,41700
6,44340
3,41400
1,66540
3,58680
2,33120
1,78600
4,22080
4,10680
2,79740
4,8100
4,17160
0,42840
0,36840
6,74400
0,29040
0,76080
1,40200
2,52500
1,58860
1,37260
6,80520
2,66360
0,83940
3,67320
2,83460
1,61980
1,52200
0,37080
0,23880
2,33000
5,48180
4,31380
0,53100
3,47880
6,44100
5,59940
3,63960
2,47400
6,45300
4,67260
2,57000
4,30840
0,33600
4,12840
4,49740
5,63780
4,48660
2,39780
6,78060
0,48480
1,52260
2,68340
1,75060
6,81360
0,22620
2,33000
0,36480
6,70260
0,78480
2,79080
6,56040
6,82920
0,33360
0,27480
0,70860
0,67260
0,64560
4,68100
0,31320
6,30780
6,58260
2,64260
0,76080
0,42780
3,81240
0,52020
5,46920
1,5160
4,38940
1,71280
2,44160
2,53580
3,47460
3,79500
4,50820
4,31680
6,73680
2,77880
3,46020
2,40980
2,45900
2,51360
2,55800
2,58800
3,55800
1,61800
1,70680
1,73500
3,1080
1,33060
4,53160
2,47520
2,52620
2,13740
5,39960
5,45960
5,81600
6,72120
0,24300
0,57600
2,38820
0,43080
2,34680
4,79260
0,47760
3,62100
1,9840
0,84960
3,52680
1,69540
6,65700
0,47040
5,36000
0,41880
5,68520
6,35400
0,39960
1,17220
6,80520
3,63360
2,51900
0,58500
1,60420
0,80280
2,71400
2,4140
3,63240
0,84120
2,22140
0,33960
4,23460
0,38520
6,52560
6,79980
0,69060
1,62400
5,49380
5,62640
5,76620
2,66480
6,60840
2,52620
6,65580
3,77700
5,66900
1,68400
1,4980
1,67320
2,24180
2,49500
5,73500
2,57000
2,58380
3,5280
3,5460
5,80940
4,53280
2,26880
1,37920
0,61020
0,54300
3,49800
0,43260
0,79200
3,46740
1,66300
6,22860
2,64800
1,4620
2,49500
3,54480
3,52440
3,52140
0,17760
3,49380
3,47340
3,47280
3,59160
2,35100
3,80520
3,62580
3,74280
0,51060
3,63240
2,26160
3,49740
6,75180
3,63960
3,51720
3,63120
3,50280
3,62520
3,73860
3,49740
3,64320
3,74520
3,41520
1,63480
3,65880
3,75360
3,24300
6,75120
3,65640
3,75900
3,50160
3,50280
3,63960
4,52500
4,40740
0,57840
2,57000
0,56400
0,57960
0,62640
0,30720
0,54000
0,56880
0,57540
0,50520
6,72540
0,54540
5,77220
0,54840
0,46560
0,41820
5,81300
6,52980
0,41820
0,51540
6,3000
4,45540
0,65940
4,56400
3,75300
4,42240
1,52560
0,44940
3,42240
2,11460
0,70740
2,79380
0,4620
4,85200
2,72240
0,65220
0,35160
0,51120
0,53520
3,19140
4,1020
4,69300
0,56520
2,43020
6,71100
3,53940
3,31380
4,39660
4,40680
2,43320
2,44040
4,69240
3,33480
1,58500
3,45660
0,42300
1,19500
4,69240
4,69240
0,34140
4,69720
4,69600
6,82380
4,69300
0,37140
6,82920
4,69060
6,16200
4,69600
0,40740
4,69420
4,69240
6,26460
0,31620
4,69240
4,69180
6,66060
0,38340
0,27000
6,76140
0,18540
4,69180
6,41280
0,68760
3,52320
6,81180
0,79080
1,60600
2,62640
4,37680
1,37320
2,60120
0,22680
6,61920
4,45300
2,78720
2,55740
0,31200
5,4140
6,79800
1,50820
0,5640
0,64620
3,50820
3,69780
6,37920
6,73800
6,81840
4,74160
3,3960
1,18660
2,77100
0,44820
0,34800
0,28320
0,27600
0,46080
0,36120
3,76440
3,76320
3,77700
1,68220
0,33360
1,29880
2,30960
3,39900
0,39180
3,76440
1,72240
0,41760
2,32820
0,39540
1,74100
2,33900
2,35160
2,22620
1,55980
2,35640
4,40380
1,62880
1,82920
1,75960
5,82140
2,72480
1,63840
1,77640
2,6900
2,73260
2,34140
2,9360
0,17940
5,72900
1,45240
3,76500
1,72840
1,2220
5,35340
3,67200
3,68400
3,71700
2,69840
1,63720
3,32820
1,81120
3,69540
1,61560
1,19200
1,21840
6,71760
2,78480
3,50940
2,36720
3,1860
2,53160
0,54840
3,56940
1,51060
4,27960
